,ALXN,AMD,BABA,BB,CAT,CGI,CMG,GME,IBM,NFLX,NVDA,P,QCOM,SDRL,SHLD,STRP,TSLA,VRX,WATT,WFC,Time
week21,-0.0696490595216227,0.0813397270052717,0.39745120066590006,0.5082646920659171,0.10442227021980001,-0.694382863431,0.17245396792975698,-0.0728210173893222,-0.0804895641897273,0.225483372086364,0.3999420399445,-0.324996648725167,-0.027084518196099996,-0.82996343687,-0.15506957867350002,4.63990071186833,0.579446491041746,-0.14431519873322698,-0.1033192809767,-0.0268833732015589,week21
week22,-0.155552012454,0.115192169550725,0.4339733757383,0.47228033582675005,0.1225145262691,-0.715489644087,0.13298003209273598,-0.0812346048694389,-0.0809651439519455,0.20381045243909102,0.43613346354111104,-0.33661020333333297,-0.0362836557821187,-0.84084861595425,-0.2819328629875,4.26776833764,0.6107839876436271,-0.125800831889073,-0.146503905624333,-0.0223291482944622,week22
week23,-0.13369726085,0.144122141504091,0.4920042551205999,0.46241946931616706,0.127964552991375,-0.674955413281667,0.120098897874307,-0.059813056757699996,-0.0820168247733818,0.206087338874727,0.444132974911556,-0.330621086710167,-0.0287606595035625,-0.8443682735538749,-0.21518223811884998,4.27029029885833,0.632138944077712,-0.0948187263246,-0.11589739793860002,-0.0209379987654831,week23
week24,-0.0923657022443333,0.18833431069934498,0.5573389456310001,0.43731585637316706,0.136982088242625,-0.617917327765667,0.0978940877993757,-0.0739986067313111,-0.0842844805252273,0.198013202938909,0.452602246759056,-0.3210921954405,-0.029615329351925,-0.852852092600625,-0.23627601371350002,4.26250668917167,0.640066912047051,-0.0102947836030133,-0.0971115523924667,-0.004470644046336221,week24
week25,-0.000176689808766668,0.20774435839256897,0.5691767905662,0.4042719918485,0.166272721929625,-0.5858928514163331,0.0480299207903214,-0.0723664888734444,-0.09221267641889999,0.22417130127136398,0.47769739643544396,-0.340269670984167,-0.0570304550814766,-0.8681670846753751,-0.23722463861665,4.26316751752167,0.633095008903085,0.03498775791807,-0.1235898852758,-0.000342320355675333,week25
week26,0.0480719038753667,0.240024909008517,0.6073995203659001,0.38060288090383293,0.152774802981375,-0.543245150023,-0.0121181263147464,-0.0860079680188778,-0.10227916918279101,0.289706619080636,0.5163783335930561,-0.36716507247100005,-0.0712817140562328,-0.8708613829085,-0.15720193714105,4.267976268355,0.62612546188178,0.0903730006372533,-0.11646254162653301,-0.0122083727952756,week26
week27,0.0328371866342667,0.236799143740379,0.6379457047228,0.361975155698083,0.170882190641125,-0.584615609456333,-0.0402555917663071,-0.0685041264515778,-0.114373441266455,0.357573663442455,0.5578231774518331,-0.34724909219350003,-0.0759355001110356,-0.8660410346134999,-0.19927048866,4.26156858639,0.625723169906508,0.13920508498956,-0.109961487836933,0.00793030752115111,week27
week28,0.0470776418669,0.23154196195206894,0.6653449361036,0.339748319339417,0.18398006054025,-0.529499119512333,-0.0649569432904143,-0.0516457555598311,-0.118250781684473,0.34238186144036403,0.557153452022889,-0.330518634141167,-0.0815159998532013,-0.881231566035,-0.16796249438704997,4.2598016151933304,0.6196253232416611,0.13526633664867302,-0.12302430713926699,0.00682860847696667,week28
week29,0.0703266195975333,0.22646225051589702,0.6986002883536999,0.32576276878883303,0.195959554360125,-0.500519603000667,-0.102312235855336,-0.0514302056364778,-0.1275862882823,0.339393800915909,0.584102389837444,-0.339791916827833,-0.0877429223397688,-0.88855896578025,-0.16681778500638503,4.26151822464333,0.597084350499288,0.114602393982692,-0.178187318547467,-0.00353385470183889,week29
week30,0.121529713491767,0.20806908682686603,0.7148987975541,0.2826454327085,0.20857563396162498,-0.42619363972966706,-0.14110861643857903,-0.0757451573592222,-0.13368410052658197,0.336867080839273,0.591863267862389,-0.341652134618833,-0.0850640869028857,-0.8844758250329999,-0.18699666030075,4.25027796540667,0.6018637416991529,0.0662817205667933,-0.227049486342333,-0.00830288436195444,week30
week31,0.154000475164833,0.179133546838517,0.7484317123768001,0.24457355286883303,0.23073387155875,-0.41387459665033294,-0.16488248037735598,-0.13542439333788903,-0.133457622272991,0.33868310293772697,0.5856256565298891,-0.32132865053000004,-0.10208397279819399,-0.8859513529808749,-0.10728567051235001,4.26268966743667,0.6170572497935761,0.0141288794487507,-0.269784716903333,-0.0210994962598711,week31
week32,0.150688992257867,0.16814708385699,0.8136777903317,0.22442216633866696,0.2504248736225,-0.35527808129433297,-0.174498248322514,-0.157336367524333,-0.133564998842036,0.34508801042236403,0.585900447653778,-0.349782267594833,-0.101227958899864,-0.8871706902834999,-0.13931537128835,4.2542244864950005,0.6351815836829999,-0.0191748622614997,-0.343552371039,-0.0315593625418778,week32
