,AAPL,AGN,AMD,AMZN,BA,BAC,CHK,COP,F,FB,FCX,FNMA,GE,NKE,NVDA,QCOM,SBUX,TSLA,VRX,XOM,time,Time
week29,0.323552342144326,0.188517663960031,0.22646225051589702,0.267430448018773,0.42513864987340005,0.0763460220632167,-0.364839534076818,-0.11090889620552301,-0.0875110152731647,0.344643206412357,-0.0613262293383857,-0.35472517446229396,-0.16519511757661498,0.131938621344138,0.584102389837444,-0.0877429223397688,-0.0149088679078508,0.597084350499288,0.114602393982692,-0.07268751902415,week29,week29
week30,0.34240806249732597,0.163791473605906,0.20806908682686603,0.27117596553095497,0.4573347492146671,0.0723990770378167,-0.385621984301591,-0.11211796814201501,-0.0948129107403765,0.35717568923864296,-0.050524695264644995,-0.33885940950205895,-0.17545002304107699,0.12692284486335198,0.591863267862389,-0.0850640869028857,-0.0280613897375192,0.6018637416991529,0.0662817205667933,-0.0783208765646917,week30,week30
week31,0.356312768995209,0.13132770288134402,0.179133546838517,0.265944656928909,0.491960011419533,0.0722479524653794,-0.40732069308795504,-0.10406024994116901,-0.0994588412895059,0.36270168111421397,-0.0335206454567141,-0.332433195459706,-0.180297695275231,0.11348567884170697,0.5856256565298891,-0.10208397279819399,-0.0338211243172415,0.6170572497935761,0.0141288794487507,-0.075925836723675,week31,week31
week32,0.36732020317918607,0.11080815153803698,0.16814708385699,0.24474918696609102,0.545698894119867,0.0691922537766722,-0.428730425583409,-0.0940434389346915,-0.10051343324527601,0.368144816473286,-0.03471007150283,-0.32615821097952896,-0.18981034328699997,0.10247145854354302,0.585900447653778,-0.101227958899864,-0.0384085570646608,0.6351815836829999,-0.0191748622614997,-0.07168863929085001,week32,week32
week33,0.36616352011595293,0.0967635179068625,0.163725923391669,0.23848032407131797,0.5565631257556,0.0812712622874556,-0.443599573267864,-0.0787888516680615,-0.0894919422576706,0.36150471723121397,-0.0419664510050343,-0.324857895003882,-0.19534792385415398,0.0743446465994333,0.6151072793453329,-0.0939529239346556,-0.0416485383016446,0.633188824276627,-0.062775262820428,-0.0655183756383567,week33,week33
week34,0.364395387444837,0.0912351483421875,0.16302011922394502,0.239088705776909,0.564710522329,0.0826334000099278,-0.445564580177636,-0.0589822765855115,-0.0709146555199212,0.37302521904792896,-0.0340822715459429,-0.30566708104635304,-0.20218040116261501,0.0535349429136089,0.637010488197611,-0.0948664396485644,-0.0450202113574208,0.6582985657341021,-0.07464707303430701,-0.0610216007337017,week34,week34
week35,0.35672099662016293,0.0722744985673731,0.166232433543693,0.240460134096727,0.5701691959771329,0.0926952691890722,-0.445050054965182,-0.0414846372688854,-0.0516466010935323,0.3665923055015,-0.0346337893740857,-0.28299204772776504,-0.206138493900308,0.0343895821610289,0.662538394171722,-0.0937522648908388,-0.0313453770149185,0.682145199501814,-0.064295899269529,-0.0543847619358075,week35,week35
week36,0.357584640374279,0.0545130031930875,0.19322607497912803,0.23633115496649998,0.5894536352220671,0.11195894399417801,-0.441113187659591,-0.0274765563855369,-0.0361725860174365,0.37562470077242893,-0.0325915062356071,-0.27841194546505893,-0.207880009988,0.0264737006793806,0.713089241109444,-0.0806647329227006,-0.0354362300448272,0.676761112076966,-0.066716453873579,-0.0437429215735217,week36,week36
week37,0.347523957886395,0.026021587201525,0.204862272620166,0.243560795832545,0.6089216754549329,0.123844120806856,-0.439310373217818,-0.0115848286736108,-0.0204673755792994,0.37494178728257105,-0.0406867576738186,-0.285800308328,-0.212750629991,0.0217697505021844,0.7245259969405559,-0.0857091123439038,-0.0383253069622077,0.65243791352739,-0.0526010830130055,-0.0366498992139226,week37,week37
week38,0.3527175795951629,-0.00101831564648125,0.19852032375808604,0.268640308990864,0.6184583733106,0.150776009092161,-0.439381511925591,0.00988880176043385,-0.00482737876163882,0.39727784059407106,-0.0401694694965043,-0.273212553728,-0.22111885024784603,0.0215479407042472,0.773577063294167,-0.0703959339108469,-0.0286865262430599,0.649024860211,-0.058217610743547005,-0.0295556627688825,week38,week38
